COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,111,30/09/2020 00,01/10/2020 00,12,ug/m3
4000022,111,01/10/2020 00,02/10/2020 00,9,ug/m3
4000022,111,02/10/2020 00,03/10/2020 00,1,ug/m3
4000022,111,03/10/2020 00,04/10/2020 00,1,ug/m3
4000022,111,04/10/2020 00,05/10/2020 00,3,ug/m3
4000022,111,05/10/2020 00,06/10/2020 00,8,ug/m3
4000022,111,06/10/2020 00,07/10/2020 00,14,ug/m3
4000022,111,07/10/2020 00,08/10/2020 00,16,ug/m3
4000022,111,08/10/2020 00,09/10/2020 00,19,ug/m3
4000022,111,09/10/2020 00,10/10/2020 00,25,ug/m3
4000022,111,10/10/2020 00,11/10/2020 00,21,ug/m3
4000022,111,11/10/2020 00,12/10/2020 00,4,ug/m3
4000022,111,12/10/2020 00,13/10/2020 00,1,ug/m3
4000022,111,13/10/2020 00,14/10/2020 00,7,ug/m3
4000022,111,14/10/2020 00,15/10/2020 00,11,ug/m3
4000022,111,15/10/2020 00,16/10/2020 00,10,ug/m3
4000022,111,16/10/2020 00,17/10/2020 00,10,ug/m3
4000022,111,17/10/2020 00,18/10/2020 00,12,ug/m3
4000022,111,18/10/2020 00,19/10/2020 00,19,ug/m3
4000022,111,19/10/2020 00,20/10/2020 00,24,ug/m3
4000022,111,20/10/2020 00,21/10/2020 00,26,ug/m3
4000022,111,21/10/2020 00,22/10/2020 00,17,ug/m3
4000022,111,22/10/2020 00,23/10/2020 00,21,ug/m3
4000022,111,23/10/2020 00,24/10/2020 00,28,ug/m3
4000022,111,24/10/2020 00,25/10/2020 00,25,ug/m3
4000022,111,25/10/2020 00,26/10/2020 00,15,ug/m3
4000022,111,26/10/2020 00,27/10/2020 00,3,ug/m3
4000022,111,27/10/2020 00,28/10/2020 00,7,ug/m3
4000022,111,28/10/2020 00,29/10/2020 00,13,ug/m3
4000022,111,29/10/2020 00,30/10/2020 00,16,ug/m3
4000022,111,30/10/2020 00,31/10/2020 00,25,ug/m3
4000022,111,31/10/2020 00,01/11/2020 00,22,ug/m3
4000022,111,01/11/2020 00,02/11/2020 00,18,ug/m3
4000022,111,02/11/2020 00,03/11/2020 00,19,ug/m3
4000022,111,03/11/2020 00,04/11/2020 00,38,ug/m3
4000022,111,04/11/2020 00,05/11/2020 00,36,ug/m3
4000022,111,05/11/2020 00,06/11/2020 00,24,ug/m3
4000022,111,06/11/2020 00,07/11/2020 00,17,ug/m3
4000022,111,07/11/2020 00,08/11/2020 00,31,ug/m3
4000022,111,08/11/2020 00,09/11/2020 00,30,ug/m3
4000022,111,09/11/2020 00,10/11/2020 00,20,ug/m3
4000022,111,10/11/2020 00,11/11/2020 00,30,ug/m3
4000022,111,11/11/2020 00,12/11/2020 00,35,ug/m3
4000022,111,12/11/2020 00,13/11/2020 00,53,ug/m3
4000022,111,13/11/2020 00,14/11/2020 00,45,ug/m3
4000022,111,14/11/2020 00,15/11/2020 00,50,ug/m3
4000022,111,15/11/2020 00,16/11/2020 00,46,ug/m3
4000022,111,16/11/2020 00,17/11/2020 00,24,ug/m3
4000022,111,17/11/2020 00,18/11/2020 00,25,ug/m3
4000022,111,18/11/2020 00,19/11/2020 00,18,ug/m3
4000022,111,19/11/2020 00,20/11/2020 00,19,ug/m3
4000022,111,20/11/2020 00,21/11/2020 00,13,ug/m3
4000022,111,21/11/2020 00,22/11/2020 00,11,ug/m3
4000022,111,22/11/2020 00,23/11/2020 00,19,ug/m3
4000022,111,23/11/2020 00,24/11/2020 00,27,ug/m3
4000022,111,24/11/2020 00,25/11/2020 00,44,ug/m3
4000022,111,25/11/2020 00,26/11/2020 00,38,ug/m3
4000022,111,26/11/2020 00,27/11/2020 00,52,ug/m3
4000022,111,27/11/2020 00,28/11/2020 00,61,ug/m3
4000022,111,28/11/2020 00,29/11/2020 00,80,ug/m3
4000022,111,29/11/2020 00,30/11/2020 00,56,ug/m3
